"celltype","sample","predicted_age"
"Oligo","ControlSVZ",10.9058352228394
"Oligo","ControlSVZ",22.6513603797721
"Oligo","ControlSVZ",6.72783572482602
"Oligo","ControlSVZ",26.9502629459842
"Oligo","ControlSVZ",22.9825362799413
"Oligo","ControlSVZ",7.72082033990303
"Oligo","ControlSVZ",23.4571443538924
"Oligo","ControlSVZ",21.35943373696
"Oligo","ControlSVZ",22.9575614580902
"Oligo","ControlSVZ",25.2870585412596
"Oligo","ControlSVZ",21.106563881281
"Oligo","ControlSVZ",36.5194420307646
"Oligo","ControlSVZ",21.5821712813873
"Oligo","ControlSVZ",18.340023635736
"Oligo","ControlSVZ",22.188107693107
"Oligo","ControlSVZ",15.6785708082558
"Oligo","ControlSVZ",31.3115718641071
"Oligo","ControlSVZ",23.639857283024
"Oligo","ControlSVZ",16.7480906523929
"Oligo","ControlSVZ",15.7292366870339
"Oligo","ControlSVZ",17.7660693991175
"Oligo","ControlSVZ",21.7469615536346
"Oligo","ControlSVZ",17.246428769115
"Oligo","ControlSVZ",15.0386897889781
"Oligo","ControlSVZ",15.0500084676942
"Oligo","ControlSVZ",14.4417750243791
"Oligo","ControlSVZ",11.3575752753634
"Oligo","ControlSVZ",21.9118976084381
"Oligo","ControlSVZ",27.8310957498394
"Oligo","ControlSVZ",10.2334329885682
"Oligo","ControlSVZ",25.5489043089922
"Oligo","ControlSVZ",20.1605079358698
"Oligo","ControlSVZ",18.2037635617796
"Oligo","ControlSVZ",10.7079219331027
"Oligo","ControlSVZ",28.0612018188388
"Oligo","ControlSVZ",19.3997982222285
"Oligo","ControlSVZ",2.05407190867558
"Oligo","ControlSVZ",9.30337507651082
"Oligo","ControlSVZ",5.59883059048309
"Oligo","ControlSVZ",16.3754848648966
"Oligo","ControlSVZ",24.5808730744001
"Oligo","ControlSVZ",11.9731288915784
"Oligo","ControlSVZ",21.477031407588
"Oligo","ControlSVZ",13.7484586017276
"Oligo","ControlSVZ",-6.3331909772875
"Oligo","ControlSVZ",21.1560592202207
"Oligo","ControlSVZ",20.3212898270985
"Oligo","ControlSVZ",20.09462727533
"Oligo","ControlSVZ",17.2500241327626
"Oligo","ControlSVZ",21.6180536245574
"Oligo","ControlSVZ",30.4388352870987
"Oligo","ControlSVZ",22.9795725242217
"Oligo","ControlSVZ",19.6392816807461
"Oligo","ControlSVZ",31.0695130891991
"Oligo","ControlSVZ",5.16712359079485
"Oligo","ControlSVZ",20.2852841610436
"Oligo","ControlSVZ",13.6634260180601
"Oligo","ControlSVZ",20.4709307880695
"Oligo","ControlSVZ",17.4468974281666
"Oligo","ControlSVZ",12.6923198683379
"Oligo","ControlSVZ",14.7515447254318
"Oligo","ControlSVZ",29.1842213063463
"Oligo","ControlSVZ",26.2376062146495
"Oligo","ControlSVZ",19.3965225136899
"Oligo","ControlSVZ",-7.86225212969566
"Oligo","ControlSVZ",10.5066704700756
"Oligo","ControlSVZ",22.2081957838732
"Oligo","ControlSVZ",14.0675504593637
"Oligo","ControlSVZ",17.7288784152927
"Oligo","ControlSVZ",16.3312396582563
"Oligo","ControlSVZ",15.3828523911364
"Oligo","ControlSVZ",16.8006090994909
"Oligo","ControlSVZ",14.3836148222529
"Oligo","ControlSVZ",18.7361256966579
"Oligo","ControlSVZ",13.8387165496597
"Oligo","ControlSVZ",24.7066299581204
"Oligo","ControlSVZ",18.5692327558891
"Oligo","ControlSVZ",12.0550144167339
"Oligo","ControlSVZ",21.2149393579112
"Oligo","ControlSVZ",12.0869356872647
"Oligo","ControlSVZ",24.3168697209344
"Oligo","ControlSVZ",-13.6228898263024
"Oligo","ControlSVZ",13.1132813447137
"Oligo","RIPRSVZ",33.043667314073
"Oligo","RIPRSVZ",21.2633924498545
"Oligo","RIPRSVZ",36.8154280035419
"Oligo","RIPRSVZ",22.455346279936
"Oligo","RIPRSVZ",25.5425189366858
